mask,21.03.2023,vancea,cat

cumpara oua,28.02.2022,funaru,shopping

murdar,22.02.2022,tudor,capra

pregatire,24.03.2022,ion,razboi

telefon,22.04.2022,varga,curs

mizerie,29.05.2022,zoltan,curs

galagie,21.04.2022,relu,curs

lectii,23.04.2022,vasile,curs

branza,25.03.2022,tudor,cumparaturi

banane,15.03.2022,ion,munca

masina,23.04.2022,dani,munca

bicicleta,22.03.2021,lascu,curs

pastile,22.02.2022,iancu,curs

vase,12.12.2022,emi,munca

televizor,23.05.2022,daniela,cadouri

rice,12.06.2022,flaviu,curs

relocare,11.11.2024,ion,curs

turcia,05.06.2022,manu,cadouri

sport,11.12.2025,ticu,munca

turta dulce,22.02.1013,grig,curs

delgare,22.09.2023,vlad,munca

gata,28.02.2022,turcu,curs

receptie,12.12.2023,marc,cadouri

trek,11.02.2020,ion,curs
turnuri,09.11.2022,istvan,munca
